617,0.0115,96.5,1
664,0.0167,60.32,1
780,0.0108,20.036,1
730,0.0064,81.132,1
702,0.0628,77.419,1
758,0.0064,85.647,1
730,0.0064,96.5,1
641,0,97.43,1
678,0,96.5,1
696,0.0228,93.103,1
673,0.0432,94.401,1
683,0.1018,84.729,1
676,0.1523,77.778,1
761,0.0432,50,1
705,0,49.059,1
733,0.0076,75.152,1
780,0,70.22,1
673,0,91.592,1
693,0.0224,48.059,1
767,0,39.343,1
796,0,80.45,1
641,0.0021,0.164,1
765,0,82.669,1
736,0,86.867,1
646,0,87.724,1
726,0.0164,84.87,1
765,0,69.68,1
713,0.0157,95,1
709,0.1059,73.043,1
734,0.0157,80,1
766,0,55.567,1
695,0,5.206,1
771,0.0386,79.167,1
725,0.0094,95,1
803,0.0177,0.001,1
816,0.0108,88.074,1
692,0.0064,49.698,1
671,0.015,77.778,1
778,0,60.169,1
655,0.1523,62.39,1
671,0.0167,40.727,1
670,0.0065,95,1
684,0.0386,66.99,1
723,0,55.723,1
666,0.0067,95,1
663,0.0386,52.786,1
750,0.0303,93.909,1
657,0.0064,58.214,1
719,0,64.741,1
799,0,125.929,1
798,0.0386,52.174,1
785,0.0735,89.473,1
635,0.0042,85,1
691,0,55.511,1
727,0.0214,95,1
813,0.1059,74.052,1
609,0.0167,53.524,1
665,0.0064,87.345,1
680,0,76.633,1
732,0.0496,81.181,1
671,0.0149,95,1
776,0.0108,79.802,1
785,0,90,1
637,0.027,90,1
801,0.0099,67,1
777,0.0628,63.481,1
691,0.0628,95.078,1
768,0,80,1
679,0,62.381,1
749,0,1.333,1
767,0.0341,17.5,1
767,0,46.412,1
806,0.0164,80,1
693,0.0735,66.667,1
799,0.0386,92.575,1
668,0.0386,57.097,1
809,0,79.13,1
800,0.0432,75,1
817,0,69.477,1
768,0.0735,36.338,1
757,0.0386,66,1
775,0.0735,68.966,1
775,0,91.935,1
744,0,70.913,1
676,0,89.103,1
772,0,71.897,1
683,0,73.9,1
772,0.0076,65.565,1
665,0.0341,43.333,1
672,0.0496,86.666,1
673,0,82.25,1
797,0.0477,95,1
700,0.0064,90,1
735,0.0146,116.684,1
782,0,83.449,1
784,0,87.109,1
682,0.0079,74.163,1
798,0,80,1
677,0,91.093,1
716,0,20.6,1
809,0.0164,62.787,1
737,0.0303,104.761,1
786,0.011,76.655,1
750,0.0172,76.404,1
745,0,79.451,1
813,0,20.279,1
751,0,80,1
774,0.0064,70.208,1
708,0.0386,44,1
729,0,81.62,1
700,0.0094,66.617,1
737,0.1059,87.499,1
645,0,95,1
788,0,96.32,1
662,0,46.8,1
743,0,80,1
748,0.0341,45.888,1
716,0,82.795,1
693,0.0224,68,1
739,0.1523,20.5,1
700,0.0064,125,1
709,0,72.453,1
697,0,37.5,1
633,0,69.167,1
691,0,85.983,1
715,0.0076,86.625,1
721,0,69.825,1
635,0,87.603,1
707,0.0213,78.788,1
663,0,52.2,1
682,0.0432,91.75,1
684,0,63.107,1
730,0,100,1
720,0.0042,95,1
793,0,74.808,1
731,0,0,1
783,0.0341,26.316,1
